pdfd_005,pdfd_01,pdfd_02,pdfd_03
0.12301587301587301,0.03571428571428571,0.003968253968253968,0.0
0.12301587301587301,0.03571428571428571,0.003968253968253968,0.0
0.12301587301587301,0.03571428571428571,0.003968253968253968,0.0
0.12301587301587301,0.03571428571428571,0.003968253968253968,0.0
0.12301587301587301,0.03571428571428571,0.003968253968253968,0.0
0.12698412698412698,0.03571428571428571,0.003968253968253968,0.0
0.12698412698412698,0.03571428571428571,0.003968253968253968,0.0
0.12698412698412698,0.03571428571428571,0.003968253968253968,0.0
0.12698412698412698,0.03571428571428571,0.003968253968253968,0.0
0.13095238095238096,0.03968253968253968,0.003968253968253968,0.0
0.13095238095238096,0.03968253968253968,0.003968253968253968,0.0
0.13095238095238096,0.03968253968253968,0.003968253968253968,0.0
0.13095238095238096,0.03968253968253968,0.003968253968253968,0.0
0.1349206349206349,0.03968253968253968,0.003968253968253968,0.0
0.1349206349206349,0.03968253968253968,0.003968253968253968,0.0
0.1349206349206349,0.03968253968253968,0.003968253968253968,0.0
0.1349206349206349,0.03968253968253968,0.003968253968253968,0.0
0.1349206349206349,0.03968253968253968,0.003968253968253968,0.0
0.1349206349206349,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1349206349206349,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.1388888888888889,0.03968253968253968,0.003968253968253968,0.0
0.14285714285714285,0.03968253968253968,0.003968253968253968,0.0
